student_id,program,cohort,unit_name,trs_score,class_average_trs,aptitude_improvement,logical_ability_improvement,sessions_attended,ai_tutor_usage_days,ai_mentor_usage_days,exam_prep_usage_days,ai_tutor_last_access,badges_earned
S1011,MGB,MGB_Jan24,Project Management,82.54763066637699,80.093947704158,21.57046446584842,20.300913300911287,5,3,3,4,2025-05-15,Consistent User
S1012,MGB,MGB_Jan24,Applied Statistics,73.4091666999392,75.39291173637335,22.753457116652605,15.965234660426033,4,12,2,2,2025-05-11,"Consistent User, Consistent User"
S1012,MGB,MGB_Jan24,Digital Marketing,70.67034079959524,69.8586889918419,18.724863070917205,16.3326971905735,5,6,7,1,2025-05-03,Consistent User
S1012,MGB,MGB_Jan24,Supply Chain,83.36651298123911,88.8924564160623,19.489438169004693,17.49037253178652,5,12,5,3,2025-04-17,Rapid Improver
S1012,MGB,MGB_Jan24,Project Management,79.19655656803639,73.89686396392776,20.802350848288377,23.34110147009343,4,4,4,5,2025-05-16,"Top Performer, Top Performer"
S1013,MGB,MGB_Jan24,Applied Statistics,83.16854590750337,86.56599594385375,21.613834315903627,15.648997665308773,4,7,5,2,2025-04-14,"Rapid Improver, Top Performer"
S1013,MGB,MGB_Jan24,Digital Marketing,64.56222079081485,69.20007700573625,14.50501518016187,15.644563769559314,4,8,7,4,2025-05-18,"Top Performer, Top Performer"
S1013,MGB,MGB_Jan24,Supply Chain,89.19622507281484,91.78197304299329,23.636017277404164,19.187138690396562,5,8,2,6,2025-05-21,Consistent User
S1013,MGB,MGB_Jan24,Project Management,73.4627666131842,64.07442161755834,20.895862507893884,14.623863335938513,5,9,2,4,2025-05-13,"Rapid Improver, Rapid Improver"
S1014,MGB,MGB_Jan24,Applied Statistics,77.2029099607612,72.57290145750736,18.25803134906135,14.158964962639434,6,9,7,5,2025-05-10,"Top Performer, Consistent User"
S1014,MGB,MGB_Jan24,Digital Marketing,79.97135348428938,79.7332776504475,17.806196402146252,18.411158134741736,5,3,7,6,2025-05-19,"Top Performer, Top Performer"
S1014,MGB,MGB_Jan24,Supply Chain,68.91760640552619,67.68985457197506,17.451783217016004,17.13367785406186,6,9,2,1,2025-04-22,Consistent User
S1014,MGB,MGB_Jan24,Project Management,85.36707332251069,84.9927630654646,19.749591951004728,18.33272608955663,6,11,2,2,2025-04-19,Consistent User
S1015,MGB,MGB_Jan24,Applied Statistics,89.442898706015,94.57004850634765,20.698427747559982,21.39683685542959,4,11,2,4,2025-04-16,"Top Performer, Consistent User"
S1015,MGB,MGB_Jan24,Digital Marketing,79.7298768807875,86.00270419320759,17.21097415722913,18.792981887951182,5,9,6,3,2025-04-20,"Rapid Improver, Top Performer"
S1015,MGB,MGB_Jan24,Supply Chain,95.39935591843584,98.0,24.50644524088851,21.718810699524315,6,7,1,6,2025-04-14,Consistent User
S1015,MGB,MGB_Jan24,Project Management,82.19253880089623,81.5530273000707,20.497499827698416,18.104573057238515,4,7,5,4,2025-04-29,"Top Performer, Rapid Improver"
S1016,MGB,MGB_Jan24,Applied Statistics,77.35940284154402,73.11705246483093,17.902734492322534,17.79304154102203,5,4,3,4,2025-04-15,"Consistent User, Rapid Improver"
S1016,MGB,MGB_Jan24,Digital Marketing,58.70524364495339,63.0123189993862,16.090670291440013,14.928093320558613,6,10,3,2,2025-04-20,"Rapid Improver, Consistent User"
S1016,MGB,MGB_Jan24,Supply Chain,62.059896443843,62.313866108274865,14.796661191902833,17.102085722398822,5,3,4,2,2025-04-25,
S1016,MGB,MGB_Jan24,Project Management,91.80990313578573,94.48488266011987,21.66967343882671,18.264835483435867,6,8,2,3,2025-05-09,"Rapid Improver, Rapid Improver"
S1017,MGB,MGB_Jan24,Applied Statistics,86.56992449273496,87.27535980082114,27.451518310546106,20.708182046805714,4,4,4,6,2025-05-06,Consistent User
S1017,MGB,MGB_Jan24,Digital Marketing,64.14597045446158,64.81209287781655,13.82936389043585,16.10687895836775,4,6,7,6,2025-05-04,Top Performer
S1017,MGB,MGB_Jan24,Supply Chain,61.22394184585265,67.628582498025,17.333985803135477,14.786099175898682,4,10,3,5,2025-05-09,Rapid Improver
S1017,MGB,MGB_Jan24,Project Management,70.78898473354951,70.28005684318981,18.465747130799475,13.000432226808583,6,5,1,6,2025-05-17,"Rapid Improver, Top Performer"
S1018,MGB,MGB_Jan24,Applied Statistics,73.07647676261634,80.69086732444102,16.41747534822825,16.26077411032557,5,9,3,2,2025-04-16,"Rapid Improver, Rapid Improver"
S1018,MGB,MGB_Jan24,Digital Marketing,79.14199434071226,76.71444130941371,18.050521942543362,20.08182772153427,6,11,2,1,2025-05-11,"Top Performer, Rapid Improver"
S1018,MGB,MGB_Jan24,Supply Chain,87.05816199585547,84.30295303075641,22.217816033133502,15.776063970441406,5,11,5,5,2025-05-22,Top Performer
S1018,MGB,MGB_Jan24,Project Management,83.3360642348977,76.33424872305213,22.199657799376137,21.073374540832965,6,8,6,2,2025-05-03,"Rapid Improver, Top Performer"
S1019,MGB,MGB_Jan24,Applied Statistics,90.9149506623987,88.33834684124987,21.986577774848623,21.266107585616012,6,7,4,5,2025-05-03,"Consistent User, Top Performer"
S1019,MGB,MGB_Jan24,Digital Marketing,88.59889142529474,90.04439223833141,20.42800781966175,22.56163457246694,6,7,6,6,2025-05-07,Rapid Improver
S1019,MGB,MGB_Jan24,Supply Chain,94.79705790730873,97.12877869889815,22.58018272894044,17.867568363388056,5,5,2,3,2025-04-18,"Rapid Improver, Top Performer"
S1019,MGB,MGB_Jan24,Project Management,81.88040119196937,75.70890848275765,18.35386033089579,18.076062189590296,4,4,3,5,2025-05-01,"Top Performer, Consistent User"
S1020,MGB,MGB_Jan24,Applied Statistics,69.62057147399366,64.74568727735432,18.716657075388714,17.278095581261336,4,12,4,4,2025-04-22,Rapid Improver
S1020,MGB,MGB_Jan24,Digital Marketing,75.16938518631613,67.83207031588908,18.60738668023067,19.7745116662464,4,8,1,5,2025-05-21,
S1020,MGB,MGB_Jan24,Supply Chain,85.97792398479054,83.40112561781348,24.704068581757,19.42607391755673,4,9,3,1,2025-05-14,"Consistent User, Top Performer"
S1020,MGB,MGB_Jan24,Project Management,83.29178773528598,79.54160922208345,17.09047985495389,20.033316566007258,5,4,2,3,2025-05-19,"Rapid Improver, Rapid Improver"
S1021,MGB,MGB_Jan24,Applied Statistics,76.3744421233131,79.7394230427968,16.545015419254582,18.68324471925767,5,8,7,3,2025-04-26,
S1021,MGB,MGB_Jan24,Digital Marketing,70.99973708799246,61.65419253873741,18.277033925830107,16.830074388343636,5,5,4,1,2025-04-21,"Consistent User, Consistent User"
S1021,MGB,MGB_Jan24,Supply Chain,54.16281397435257,52.4050434134176,16.13851560876685,12.384472948838784,6,9,2,4,2025-04-23,"Rapid Improver, Top Performer"
S1021,MGB,MGB_Jan24,Project Management,85.40755367595696,81.94321053526447,24.845971007957726,23.339197891971835,5,10,3,5,2025-05-12,Consistent User
S1022,MGB,MGB_Jan24,Applied Statistics,77.90248212213767,80.52720329231222,16.76395775618061,18.503167890666248,4,12,4,5,2025-04-14,"Consistent User, Rapid Improver"
S1022,MGB,MGB_Jan24,Digital Marketing,65.67675286334286,62.20801386366456,18.04974049858344,10.742228486332412,5,12,7,1,2025-05-19,Consistent User
S1022,MGB,MGB_Jan24,Supply Chain,77.68436073264762,78.80730481744311,20.782830733588877,17.22412425249598,4,11,6,6,2025-04-20,Top Performer
S1022,MGB,MGB_Jan24,Project Management,87.33793606613254,85.69932474291542,20.752362159484182,15.187950831797536,4,5,2,5,2025-04-14,"Top Performer, Rapid Improver"
S1023,MGB,MGB_Jan24,Applied Statistics,89.38443206883466,86.41521658808364,19.862411855580252,15.309982060785423,6,5,4,6,2025-05-19,"Consistent User, Consistent User"
S1023,MGB,MGB_Jan24,Digital Marketing,83.22980352815479,75.2609845955008,23.535339643459064,20.186718243817516,6,7,2,6,2025-04-14,"Rapid Improver, Top Performer"
S1023,MGB,MGB_Jan24,Supply Chain,70.29176034722065,70.45204795817094,15.819395527491311,14.658101834934076,6,10,6,2,2025-04-22,"Top Performer, Rapid Improver"
S1023,MGB,MGB_Jan24,Project Management,81.7929474541309,81.06246289687826,19.50326044599868,18.020794737094942,4,12,6,5,2025-04-30,"Consistent User, Top Performer"
S1024,MGB,MGB_Jan24,Applied Statistics,86.95611107158068,85.0712519678216,19.778172260695882,17.4868400581667,4,12,2,3,2025-05-16,"Consistent User, Rapid Improver"
S1024,MGB,MGB_Jan24,Digital Marketing,62.0278664980982,66.01026296009975,13.657946263971057,13.959950261238522,4,6,2,5,2025-05-11,Top Performer
S1024,MGB,MGB_Jan24,Supply Chain,71.50788101056978,75.39099786558407,17.534320711432507,12.153791193770513,5,8,7,4,2025-04-29,Consistent User
S1024,MGB,MGB_Jan24,Project Management,94.95389733241923,98.0,21.912092832910915,22.443814837423417,5,3,1,4,2025-05-10,"Rapid Improver, Top Performer"
S1025,MGB,MGB_Jan24,Applied Statistics,92.05471598359375,97.02790890320311,22.85231914523298,22.352524919297288,4,5,2,5,2025-04-20,
S1025,MGB,MGB_Jan24,Digital Marketing,68.07155360230166,71.00902528308153,20.103276706630385,11.846516646954155,5,11,3,2,2025-05-12,Consistent User
S1025,MGB,MGB_Jan24,Supply Chain,78.59443863316879,73.26094127001764,21.228888954910243,17.442199699161186,6,12,4,5,2025-04-26,"Consistent User, Top Performer"
S1025,MGB,MGB_Jan24,Project Management,75.68951327370884,78.81811152705437,17.949528228063404,13.981487235704915,6,3,5,1,2025-05-09,Top Performer
S1026,MGB,MGB_Jan24,Applied Statistics,80.39516851557725,81.54412317691238,16.564560174942024,18.751709950104726,5,8,6,6,2025-05-01,Rapid Improver
S1026,MGB,MGB_Jan24,Digital Marketing,90.1800310058542,83.82120258693843,20.952026333456498,19.227284195173798,4,10,3,1,2025-04-17,"Rapid Improver, Rapid Improver"
S1026,MGB,MGB_Jan24,Supply Chain,92.17478406434901,85.0011602453117,24.08289315594404,21.201754476659012,4,10,4,3,2025-04-26,"Consistent User, Top Performer"
S1026,MGB,MGB_Jan24,Project Management,80.61515822358402,76.64285179214227,22.010160673250176,13.06701241617339,6,12,4,6,2025-04-22,Rapid Improver
S1027,MGB,MGB_Jan24,Applied Statistics,80.03855798965698,85.79991233813628,21.33351984727547,17.362321308479334,4,4,1,3,2025-04-28,"Rapid Improver, Top Performer"
S1027,MGB,MGB_Jan24,Digital Marketing,74.98872377990611,71.58169392060441,20.73597333500778,11.236226641696106,5,7,4,3,2025-05-12,"Rapid Improver, Rapid Improver"
S1027,MGB,MGB_Jan24,Supply Chain,73.20000969917288,77.90960566560847,19.34419507433948,19.188711857993606,4,12,2,6,2025-05-10,"Rapid Improver, Rapid Improver"
S1027,MGB,MGB_Jan24,Project Management,79.68183601176167,85.11152915637761,18.670335200404253,16.733422321115185,4,11,7,1,2025-04-27,Consistent User
S1028,MGB,MGB_Jan24,Applied Statistics,80.49547017803714,78.53726578794515,20.54985736384292,18.089513808373983,6,7,5,4,2025-05-21,"Rapid Improver, Rapid Improver"
S1028,MGB,MGB_Jan24,Digital Marketing,79.20111732373341,73.12136339687174,21.41353255756489,16.04379753982437,4,8,6,1,2025-04-25,"Consistent User, Rapid Improver"
S1028,MGB,MGB_Jan24,Supply Chain,60.54119320860569,58.10243877496549,15.9709545520058,11.774632568583996,4,11,6,6,2025-05-11,Consistent User
S1028,MGB,MGB_Jan24,Project Management,100.0,98.0,26.48697015710597,23.714876657886876,4,3,1,6,2025-04-22,"Consistent User, Consistent User"
S1029,MGB,MGB_Jan24,Applied Statistics,87.42796211151274,86.99032261161872,22.420431105172245,19.87183703473497,6,12,6,1,2025-05-11,Rapid Improver
S1029,MGB,MGB_Jan24,Digital Marketing,63.49481729097852,55.28245792721927,16.515056774125377,12.352641268637655,5,7,1,3,2025-05-09,"Rapid Improver, Top Performer"
S1029,MGB,MGB_Jan24,Supply Chain,86.2440694141417,82.48383660613406,19.45633220836936,15.721173719429167,5,8,2,2,2025-04-20,Top Performer
S1029,MGB,MGB_Jan24,Project Management,78.79845485448367,80.42513851677128,18.903353170241935,19.333437545933872,6,9,3,4,2025-05-02,Rapid Improver
S1030,MGB,MGB_Jan24,Applied Statistics,72.6879998136341,82.407689717776,19.745477254316054,13.510542517880642,6,6,3,1,2025-04-23,"Consistent User, Rapid Improver"
S1030,MGB,MGB_Jan24,Digital Marketing,77.33486995237854,75.10400396447048,17.607022572670907,20.009687171648793,5,4,2,3,2025-05-01,Top Performer
S1030,MGB,MGB_Jan24,Supply Chain,74.30550819553864,73.82224944865311,18.880322242252173,13.043877923686287,6,11,6,3,2025-05-18,Consistent User
S1030,MGB,MGB_Jan24,Project Management,69.15607129889233,66.82608370047232,20.04815008750668,15.528050873571651,4,6,3,3,2025-05-12,Top Performer
S1031,MGB,MGB_Jan24,Applied Statistics,81.4404915341874,86.9249948978271,22.58125690668559,16.675050809307418,5,9,7,2,2025-05-22,Consistent User
S1031,MGB,MGB_Jan24,Digital Marketing,94.08132377126302,94.14379809100392,24.0215431628984,19.987795707111744,4,5,1,6,2025-04-30,Top Performer
S1031,MGB,MGB_Jan24,Supply Chain,80.30731655869366,78.72251186265827,19.99413344338254,16.033014164316093,4,4,3,2,2025-05-17,Rapid Improver
S1031,MGB,MGB_Jan24,Project Management,79.30148967189166,88.29015079759044,21.270285583770704,16.422798645080285,6,3,7,6,2025-04-16,"Top Performer, Top Performer"
S1032,MGB,MGB_Jan24,Applied Statistics,80.04911770125906,84.14796211076273,17.37531470506878,19.815693067077074,4,6,5,4,2025-05-11,Rapid Improver
S1032,MGB,MGB_Jan24,Digital Marketing,76.70036807645054,76.04615499922181,20.371207550625442,17.449799072691075,6,5,3,4,2025-04-28,Consistent User
S1032,MGB,MGB_Jan24,Supply Chain,64.33419215690907,70.85870790731917,14.87242205764075,14.040041981365519,6,12,3,3,2025-04-17,"Consistent User, Consistent User"
S1032,MGB,MGB_Jan24,Project Management,75.71447307961134,68.12530746216954,19.64376972320233,16.37241118425939,6,4,6,2,2025-05-15,Consistent User
S1033,MGB,MGB_Jan24,Applied Statistics,66.41776104103475,73.8780320229243,14.703291694481377,17.334703930345924,6,8,4,1,2025-05-01,"Top Performer, Rapid Improver"
S1033,MGB,MGB_Jan24,Digital Marketing,80.42726407917567,67.91586940995523,21.678695224442937,17.68786586539733,5,8,5,4,2025-05-05,Rapid Improver
S1033,MGB,MGB_Jan24,Supply Chain,76.76575019752023,64.23771032840696,17.393868274676425,18.786142571340037,5,12,1,4,2025-04-27,"Top Performer, Top Performer"
S1033,MGB,MGB_Jan24,Project Management,71.07699691154748,71.40504296943246,17.563970806625754,16.718606752994802,4,6,2,2,2025-04-26,"Consistent User, Top Performer"
S1034,MGB,MGB_Jan24,Applied Statistics,73.33341957741055,75.46227326443893,16.776691875969853,15.401923144244526,4,7,6,1,2025-05-11,Top Performer
S1034,MGB,MGB_Jan24,Digital Marketing,78.78310689892938,75.32932238901493,16.354925746362344,17.90928172895913,6,3,3,3,2025-05-08,Top Performer
S1034,MGB,MGB_Jan24,Supply Chain,67.37675341058713,63.71405652447439,14.39658576670815,14.60424436968306,5,8,7,6,2025-04-28,
S1034,MGB,MGB_Jan24,Project Management,62.811583228474696,62.262466910431144,16.40803383079821,15.399664058794192,4,5,5,5,2025-04-28,"Rapid Improver, Rapid Improver"
S1035,MGB,MGB_Jan24,Applied Statistics,87.19772601506362,82.67478220526544,21.30281487793686,16.52173565568913,4,4,3,3,2025-05-07,Rapid Improver
S1035,MGB,MGB_Jan24,Digital Marketing,71.74347679895789,66.06343708524068,18.950398159923516,16.57224907557547,6,6,4,6,2025-04-30,"Rapid Improver, Top Performer"
S1035,MGB,MGB_Jan24,Supply Chain,80.86496227559844,79.9272820867064,21.372571481949716,17.706654487686265,5,12,2,4,2025-04-15,"Rapid Improver, Consistent User"
S1035,MGB,MGB_Jan24,Project Management,80.75508635097853,76.39115204551503,23.94800410379827,17.52022899007666,4,10,3,1,2025-04-14,Consistent User
S1036,MGB,MGB_Jan24,Applied Statistics,92.00621415161828,96.15657732904069,20.73765154721508,18.578445326191467,5,3,6,4,2025-05-03,Rapid Improver
S1036,MGB,MGB_Jan24,Digital Marketing,80.16877590003496,86.71400414673609,18.56956560746573,20.561281352632392,6,12,5,6,2025-04-28,"Rapid Improver, Consistent User"
S1036,MGB,MGB_Jan24,Supply Chain,83.61880994965976,80.89968799531738,22.283682964617316,19.710420245246542,4,9,7,4,2025-04-27,"Top Performer, Consistent User"
S1036,MGB,MGB_Jan24,Project Management,88.45134766820071,90.97449700429037,24.12001880896808,20.35934038419253,4,6,6,3,2025-04-30,"Rapid Improver, Top Performer"
S1037,MGB,MGB_Jan24,Applied Statistics,67.92082768854854,69.8407750231743,19.078267988414705,16.17715096731901,4,11,2,3,2025-05-14,
S1037,MGB,MGB_Jan24,Digital Marketing,69.09847810143697,72.11486915713843,18.590221767879164,14.514179633758358,5,3,1,5,2025-04-23,Top Performer
S1037,MGB,MGB_Jan24,Supply Chain,92.02668858220946,93.16954185675971,20.870989650592954,16.415149043487926,6,10,1,5,2025-05-12,Top Performer
S1037,MGB,MGB_Jan24,Project Management,78.38719873882053,72.62887634834455,20.214300958939244,18.045765464101343,4,4,7,1,2025-05-22,"Consistent User, Consistent User"
S1038,MGB,MGB_Jan24,Applied Statistics,62.82929029654632,55.36278243724023,15.921278641378226,11.29596578648797,5,10,7,2,2025-05-18,"Consistent User, Rapid Improver"
S1038,MGB,MGB_Jan24,Digital Marketing,83.03642907079312,81.8501645337143,21.849159873734923,21.875790403641957,6,4,5,4,2025-05-22,Rapid Improver
S1038,MGB,MGB_Jan24,Supply Chain,83.32244043775727,89.45419777705109,21.18481317829584,14.993955540420957,5,7,4,2,2025-04-19,"Rapid Improver, Top Performer"
S1038,MGB,MGB_Jan24,Project Management,71.29812797853413,65.34637948631301,16.467548549429853,14.22972169013727,6,3,6,4,2025-05-07,Rapid Improver
S1039,MGB,MGB_Jan24,Applied Statistics,73.54146812327672,77.14700710140451,19.079683322672057,18.425466010434473,5,5,3,1,2025-04-15,Consistent User
S1039,MGB,MGB_Jan24,Digital Marketing,76.92222779727862,83.73105940716923,20.660735559209883,13.27177685828159,6,6,3,4,2025-05-02,Top Performer
S1039,MGB,MGB_Jan24,Supply Chain,69.07465812809066,69.19832619550229,18.60183082174055,14.264341074755887,5,9,1,3,2025-05-06,Consistent User
S1039,MGB,MGB_Jan24,Project Management,68.31479238059838,73.15126232393527,17.6894587494,16.92171209860282,6,3,1,6,2025-04-27,Consistent User
S1040,MGB,MGB_Jan24,Applied Statistics,75.37908825053475,76.19715659928755,17.945431559571777,16.656882814903387,4,10,7,1,2025-04-13,Rapid Improver
S1040,MGB,MGB_Jan24,Digital Marketing,72.26144885388115,77.79038530876723,16.314729185887504,17.161599224388517,6,10,7,1,2025-04-30,
S1040,MGB,MGB_Jan24,Supply Chain,96.2816891284807,98.0,28.5726127828492,19.097086797775518,6,8,3,3,2025-05-01,Top Performer
S1040,MGB,MGB_Jan24,Project Management,72.54996396283475,73.16104987645814,21.800297740828892,16.7925041282093,5,11,3,2,2025-05-18,Consistent User
S1041,MGB,MGB_Jan24,Applied Statistics,71.92815111621803,79.42303163667866,14.836993586231927,15.96040186739824,5,4,2,1,2025-04-25,"Top Performer, Top Performer"
S1041,MGB,MGB_Jan24,Digital Marketing,63.31378622464615,69.61553986785817,13.229789961471107,13.334845293419601,5,8,5,4,2025-05-06,Top Performer
S1041,MGB,MGB_Jan24,Supply Chain,75.21793609330521,86.4871142515075,21.0711455924752,20.29590145352598,5,11,5,5,2025-05-10,Top Performer
S1041,MGB,MGB_Jan24,Project Management,95.9637523873464,98.0,25.674476521561157,24.476827952428803,4,8,6,4,2025-05-06,"Consistent User, Rapid Improver"
S1042,MGB,MGB_Jan24,Applied Statistics,82.58027751537448,93.51318211034929,23.03490584961734,18.06272327693235,4,6,2,2,2025-05-13,Rapid Improver
S1042,MGB,MGB_Jan24,Digital Marketing,75.64373429462579,74.63602690016859,16.84589602604243,18.538207055982912,5,3,3,4,2025-04-19,"Top Performer, Consistent User"
S1042,MGB,MGB_Jan24,Supply Chain,80.03310580556865,84.34820483940526,21.8058749667846,15.93451259999232,6,8,4,5,2025-05-07,"Top Performer, Consistent User"
S1042,MGB,MGB_Jan24,Project Management,83.84399134697898,83.07661707137395,20.265573174042405,17.78581290247806,5,5,4,1,2025-04-19,Consistent User
S1043,MGB,MGB_Jan24,Applied Statistics,72.0713655258608,75.54170220390971,19.499784698821298,14.939472332484902,5,9,7,4,2025-04-25,"Rapid Improver, Consistent User"
